DATE,DATA
2002-04-12,1.83500
2002-04-15,1.83875
2002-04-16,1.83375
2002-04-17,1.83125
2002-04-18,1.82688
2002-04-19,1.82875
2002-04-22,1.85000
2002-04-23,1.84625
2002-04-24,1.84375
2002-04-25,1.84125
2002-04-26,1.84875
2002-04-29,1.84000
2002-04-30,1.84000
2002-05-01,1.83875
2002-05-02,1.83750
2002-05-03,1.83750
2002-05-07,1.83625
2002-05-08,1.83375
2002-05-09,1.82875
2002-05-10,1.83125
2002-05-13,1.83875
2002-05-14,1.83250
2002-05-15,1.82875
2002-05-16,1.83000
2002-05-17,1.82625
2002-05-20,1.82750
2002-05-21,1.82250
2002-05-22,1.81000
2002-05-23,1.83875
2002-05-24,1.84625
2002-05-27,1.84875
2002-05-28,1.84750
2002-05-29,1.86125
2002-05-30,1.84125
2002-05-31,1.83625
2002-06-05,1.82375
2002-06-06,1.82000
2002-06-07,1.82500
2002-06-10,1.82500
2002-06-11,1.82500
2002-06-12,1.82125
2002-06-13,1.82000
2002-06-14,1.82125
2002-06-17,1.82375
2002-06-18,1.82000
2002-06-19,1.80875
2002-06-20,1.84625
2002-06-21,1.84625
2002-06-24,1.85375
2002-06-25,1.85500
2002-06-26,1.87125
2002-06-27,1.84250
2002-06-28,1.83500
2002-07-01,1.82875
2002-07-02,1.82375
2002-07-03,1.81625
2002-07-04,1.81500
2002-07-05,1.82250
2002-07-08,1.82250
2002-07-09,1.82188
2002-07-10,1.82375
2002-07-11,1.82125
2002-07-12,1.81625
2002-07-15,1.81500
2002-07-16,1.81813
2002-07-17,1.81500
2002-07-18,1.81250
2002-07-19,1.81406
2002-07-22,1.81250
2002-07-23,1.82250
2002-07-24,1.81375
2002-07-25,1.81500
2002-07-26,1.81000
2002-07-29,1.81000
2002-07-30,1.81125
2002-07-31,1.81125
2002-08-01,1.81000
2002-08-02,1.80750
2002-08-05,1.80250
2002-08-06,1.80500
2002-08-07,1.80000
2002-08-08,1.80000
2002-08-09,1.79000
2002-08-12,1.78625
2002-08-13,1.78500
2002-08-14,1.78875
2002-08-15,1.78875
2002-08-16,1.79125
2002-08-19,1.80250
2002-08-20,1.80500
2002-08-21,1.80500
2002-08-22,1.80875
2002-08-23,1.81375
2002-08-27,1.81375
2002-08-28,1.84750
2002-08-29,1.83375
2002-08-30,1.82875
2002-09-02,1.82375
2002-09-03,1.82125
2002-09-04,1.81875
2002-09-05,1.81125
2002-09-06,1.80750
2002-09-09,1.81375
2002-09-10,1.81750
2002-09-11,1.81875
2002-09-12,1.82125
2002-09-13,1.82000
2002-09-16,1.81750
2002-09-17,1.81563
2002-09-18,1.81625
2002-09-19,1.81250
2002-09-20,1.83750
2002-09-23,1.82625
2002-09-24,1.82500
2002-09-25,1.82750
2002-09-26,1.83375
2002-09-27,1.82625
2002-09-30,1.82125
2002-10-01,1.81750
2002-10-02,1.81250
2002-10-03,1.80750
2002-10-04,1.80500
2002-10-07,1.81125
2002-10-08,1.81125
2002-10-09,1.80750
2002-10-10,1.81375
2002-10-11,1.81500
2002-10-14,1.81250
2002-10-15,1.81625
2002-10-16,1.81500
2002-10-17,1.81125
2002-10-18,1.81500
2002-10-21,1.81000
2002-10-22,1.81250
2002-10-23,1.82125
2002-10-24,1.82000
2002-10-25,1.82250
2002-10-28,1.82125
2002-10-29,1.83875
2002-10-30,1.81250
2002-10-31,1.76625
2002-11-01,1.71750
2002-11-04,1.64625
2002-11-05,1.63000
2002-11-06,1.61875
2002-11-07,1.37125
2002-11-08,1.36875
2002-11-11,1.38125
2002-11-12,1.37875
2002-11-13,1.38250
2002-11-14,1.35750
2002-11-15,1.35875
2002-11-18,1.34625
2002-11-19,1.31625
2002-11-20,1.31000
2002-11-21,1.35875
2002-11-22,1.37625
2002-11-25,1.38250
2002-11-26,1.37875
2002-11-27,1.38125
2002-11-28,1.35875
2002-11-29,1.35250
2002-12-02,1.34875
2002-12-03,1.33875
2002-12-04,1.33000
2002-12-05,1.33000
2002-12-06,1.32875
2002-12-09,1.32750
2002-12-10,1.32375
2002-12-11,1.32375
2002-12-12,1.32250
2002-12-13,1.32375
2002-12-16,1.32250
2002-12-17,1.32125
2002-12-18,1.31625
2002-12-19,1.31625
2002-12-20,1.31375
2002-12-23,1.50250
2002-12-24,1.50125
2002-12-27,1.48375
2002-12-30,1.37375
2002-12-31,1.36125
2003-01-02,1.35000
2003-01-03,1.34625
2003-01-06,1.34500
2003-01-07,1.34250
2003-01-08,1.32875
2003-01-09,1.32625
2003-01-10,1.32375
2003-01-13,1.32750
2003-01-14,1.33000
2003-01-15,1.32375
2003-01-16,1.31500
2003-01-17,1.31875
2003-01-20,1.32000
2003-01-21,1.32125
2003-01-22,1.32250
2003-01-23,1.33375
2003-01-24,1.33000
2003-01-27,1.33000
2003-01-28,1.32750
2003-01-29,1.33000
2003-01-30,1.32500
2003-01-31,1.32500
2003-02-03,1.32250
2003-02-04,1.32125
2003-02-05,1.31625
2003-02-06,1.31500
2003-02-07,1.31250
2003-02-10,1.31625
2003-02-11,1.31250
2003-02-12,1.31250
2003-02-13,1.31000
2003-02-14,1.31625
2003-02-17,1.31500
2003-02-18,1.31750
2003-02-19,1.31625
2003-02-20,1.31875
2003-02-21,1.31625
2003-02-24,1.31500
2003-02-25,1.31500
2003-02-26,1.32250
2003-02-27,1.31875
2003-02-28,1.32000
2003-03-03,1.32000
2003-03-04,1.31750
2003-03-05,1.31750
2003-03-06,1.30750
2003-03-07,1.31313
2003-03-10,1.30500
2003-03-11,1.28875
2003-03-12,1.28500
